Number of Records,Session End Date,Session Start Date,Booking,Clickouts,Session,Session End Time,Session Start Time
1,30-12-1899,30-12-1899,0,2,20170503000044,19:05:10,19:03:33
1,30-12-1899,30-12-1899,0,1,20170503000045,20:46:33,20:43:03
1,30-12-1899,30-12-1899,0,2,20170503000046,17:10:26,17:05:14
1,30-12-1899,30-12-1899,1,1,20170503000047,13:50:04,13:48:58
1,30-12-1899,30-12-1899,0,2,20170503000048,21:02:31,20:57:57
1,30-12-1899,30-12-1899,0,4,20170503000049,21:33:22,21:31:55
1,30-12-1899,30-12-1899,0,4,20170503000050,02:13:53,02:11:07
1,30-12-1899,30-12-1899,0,3,20170503000051,06:48:35,06:46:28
1,30-12-1899,30-12-1899,1,2,20170503000052,18:37:40,18:34:14
1,30-12-1899,30-12-1899,0,3,20170503000053,04:31:19,04:27:56
1,30-12-1899,30-12-1899,0,3,20170503000054,11:43:20,11:41:20
1,30-12-1899,30-12-1899,0,3,20170503000055,09:30:33,09:28:51
1,30-12-1899,30-12-1899,0,3,20170503000056,09:57:27,09:55:06
1,30-12-1899,30-12-1899,0,1,20170503000057,17:14:57,17:11:25
1,30-12-1899,30-12-1899,0,2,20170503000058,18:48:53,18:46:06
1,30-12-1899,30-12-1899,1,2,20170503000059,21:55:24,21:52:01
1,30-12-1899,30-12-1899,0,2,20170503000060,17:28:15,17:23:41
1,30-12-1899,30-12-1899,0,1,20170503000061,20:49:56,20:46:10
1,30-12-1899,30-12-1899,0,2,20170503000062,22:43:52,22:40:18
1,30-12-1899,30-12-1899,0,4,20170503000063,00:56:46,00:53:59
1,30-12-1899,30-12-1899,0,1,20170503000064,09:48:05,09:45:03
1,30-12-1899,30-12-1899,0,4,20170503000065,06:03:16,06:00:04
1,30-12-1899,30-12-1899,0,4,20170503000066,10:20:51,10:19:30
1,30-12-1899,30-12-1899,0,4,20170503000067,22:12:18,22:08:35
1,30-12-1899,30-12-1899,0,3,20170503000068,23:19:28,23:14:27
1,30-12-1899,30-12-1899,0,3,20170503000069,06:49:45,06:46:57
1,30-12-1899,30-12-1899,1,2,20170503000070,09:30:22,09:26:43
1,30-12-1899,30-12-1899,0,3,20170503000071,04:10:02,04:04:35
1,30-12-1899,30-12-1899,0,3,20170503000072,05:38:09,05:34:21
1,30-12-1899,30-12-1899,0,3,20170503000073,01:28:25,01:24:34
1,30-12-1899,30-12-1899,0,3,20170503000074,21:13:16,21:11:09
1,30-12-1899,30-12-1899,0,2,20170503000075,01:18:41,01:14:09
1,30-12-1899,30-12-1899,0,3,20170503000076,18:53:33,18:50:10
1,30-12-1899,30-12-1899,0,3,20170503000077,14:50:36,14:46:50
1,30-12-1899,30-12-1899,0,2,20170503000078,23:18:10,23:15:21
1,30-12-1899,30-12-1899,0,2,20170503000079,17:04:21,17:00:56
1,30-12-1899,30-12-1899,0,2,20170503000080,23:10:07,23:06:54
1,30-12-1899,30-12-1899,0,5,20170503000081,13:40:14,13:36:33
1,30-12-1899,30-12-1899,0,4,20170503000082,20:58:20,20:55:02
1,30-12-1899,30-12-1899,0,1,20170503000083,05:30:52,05:26:58
1,30-12-1899,30-12-1899,1,2,20170503000084,04:10:52,04:08:52
1,30-12-1899,30-12-1899,0,4,20170503000085,13:38:47,13:33:30
1,30-12-1899,30-12-1899,0,1,20170503000086,11:42:18,11:38:48
1,30-12-1899,30-12-1899,0,2,20170503000087,23:00:21,22:57:43
1,30-12-1899,30-12-1899,0,1,20170503000088,08:50:30,08:47:00
1,30-12-1899,30-12-1899,0,3,20170503000089,09:13:03,09:09:41
1,30-12-1899,30-12-1899,0,3,20170503000090,02:48:49,02:45:15
1,30-12-1899,30-12-1899,0,3,20170503000091,07:30:23,07:27:05
1,30-12-1899,30-12-1899,0,3,20170503000092,19:42:54,19:39:29
1,30-12-1899,30-12-1899,0,4,20170503000093,14:54:36,14:50:55
1,30-12-1899,30-12-1899,0,1,20170503000094,09:15:25,09:13:33
1,30-12-1899,30-12-1899,0,2,20170503000095,05:22:18,05:19:56
1,30-12-1899,30-12-1899,0,1,20170503000096,22:21:14,22:16:47
1,30-12-1899,30-12-1899,0,4,20170503000097,15:25:28,15:22:49
1,30-12-1899,30-12-1899,1,0,20170503000098,08:52:03,08:47:28
1,30-12-1899,30-12-1899,0,3,20170503000099,08:34:29,08:32:10
1,30-12-1899,30-12-1899,0,2,20170503000100,00:02:12,00:00:02
1,30-12-1899,30-12-1899,1,0,20170503000101,03:59:28,03:55:11
1,30-12-1899,30-12-1899,0,1,20170503000102,13:17:56,13:14:27
1,30-12-1899,30-12-1899,1,2,20170503000103,17:19:08,17:16:07
1,30-12-1899,30-12-1899,0,2,20170503000104,21:47:25,21:44:41
1,30-12-1899,30-12-1899,0,3,20170503000105,18:39:34,18:35:52
1,30-12-1899,30-12-1899,0,2,20170503000106,16:09:36,16:07:00
1,30-12-1899,30-12-1899,0,2,20170503000107,04:57:34,04:54:52
1,30-12-1899,30-12-1899,0,3,20170503000108,02:51:06,02:48:21
1,30-12-1899,30-12-1899,0,2,20170503000109,10:45:05,10:42:31
1,30-12-1899,30-12-1899,0,3,20170503000110,09:27:26,09:25:15
1,30-12-1899,30-12-1899,0,2,20170503000111,05:03:59,04:59:39
1,30-12-1899,30-12-1899,1,2,20170503000112,00:04:19,00:00:45
1,30-12-1899,30-12-1899,0,1,20170503000113,19:53:44,19:51:15
1,30-12-1899,30-12-1899,0,2,20170503000114,23:52:07,23:47:06
1,30-12-1899,30-12-1899,1,3,20170503000115,16:57:55,16:55:07
1,30-12-1899,30-12-1899,0,2,20170503000116,14:52:56,14:50:31
1,30-12-1899,30-12-1899,0,2,20170503000117,21:18:04,21:14:09
1,30-12-1899,30-12-1899,1,2,20170503000118,17:50:46,17:48:05
1,30-12-1899,30-12-1899,0,0,20170503000119,11:52:55,11:51:04
1,30-12-1899,30-12-1899,0,2,20170503000120,20:47:21,20:44:54
1,30-12-1899,30-12-1899,0,3,20170503000121,22:15:46,22:10:47
1,30-12-1899,30-12-1899,0,1,20170503000122,13:11:50,13:10:52
1,30-12-1899,30-12-1899,0,4,20170503000123,11:33:21,11:31:55
1,30-12-1899,30-12-1899,1,2,20170503000124,22:52:09,22:48:42
1,30-12-1899,30-12-1899,0,2,20170503000125,21:34:15,21:31:56
1,30-12-1899,30-12-1899,0,2,20170503000126,20:38:00,20:34:01
1,30-12-1899,30-12-1899,0,3,20170503000127,10:20:06,10:17:52
1,30-12-1899,30-12-1899,1,2,20170503000128,13:14:07,13:09:22
1,30-12-1899,30-12-1899,0,1,20170503000129,06:01:40,05:59:24
1,30-12-1899,30-12-1899,0,3,20170503000130,20:45:56,20:44:11
1,30-12-1899,30-12-1899,0,3,20170503000131,14:10:50,14:06:33
1,30-12-1899,30-12-1899,0,3,20170503000132,10:55:07,10:53:15
1,30-12-1899,30-12-1899,0,3,20170503000133,15:17:38,15:15:57
1,30-12-1899,30-12-1899,0,2,20170503000134,07:02:23,06:59:37
1,30-12-1899,30-12-1899,0,3,20170503000135,07:40:52,07:37:55
1,30-12-1899,30-12-1899,0,2,20170503000136,17:50:39,17:48:51
1,30-12-1899,30-12-1899,0,4,20170503000137,11:32:04,11:29:01
1,30-12-1899,30-12-1899,0,1,20170503000138,14:46:27,14:43:00
1,30-12-1899,30-12-1899,0,4,20170503000139,21:37:53,21:35:32
1,30-12-1899,30-12-1899,0,3,20170503000140,15:34:42,15:31:18
1,30-12-1899,30-12-1899,0,2,20170503000141,23:04:46,23:01:56
1,30-12-1899,30-12-1899,0,3,20170503000142,10:43:37,10:39:14
1,30-12-1899,30-12-1899,0,2,20170503000143,16:59:34,16:58:10
1,30-12-1899,30-12-1899,0,3,20170503000144,20:56:34,20:54:29
1,30-12-1899,30-12-1899,0,3,20170503000145,10:24:58,10:21:20
1,30-12-1899,30-12-1899,0,4,20170503000146,11:25:00,11:19:34
1,30-12-1899,30-12-1899,0,3,20170503000147,03:41:26,03:38:03
1,30-12-1899,30-12-1899,0,1,20170503000148,18:44:04,18:42:35
1,30-12-1899,30-12-1899,0,1,20170503000149,17:30:00,17:26:56
1,30-12-1899,30-12-1899,1,5,20170503000150,08:23:49,08:19:13
1,30-12-1899,30-12-1899,0,1,20170503000151,06:34:17,06:31:14
1,30-12-1899,30-12-1899,0,3,20170503000152,20:43:39,20:40:03
1,30-12-1899,30-12-1899,0,2,20170503000153,10:34:20,10:31:53
1,30-12-1899,30-12-1899,1,2,20170503000154,19:16:47,19:13:09
1,30-12-1899,30-12-1899,0,4,20170503000155,10:33:38,10:31:44
1,30-12-1899,30-12-1899,0,1,20170503000156,17:19:42,17:17:29
1,30-12-1899,30-12-1899,1,2,20170503000157,02:52:05,02:48:17
1,30-12-1899,30-12-1899,0,3,20170503000158,00:09:23,00:06:46
1,30-12-1899,30-12-1899,0,1,20170503000159,12:25:15,12:21:53
1,30-12-1899,30-12-1899,0,3,20170503000160,22:39:16,22:35:40
1,30-12-1899,30-12-1899,0,4,20170503000161,02:36:37,02:33:00
1,30-12-1899,30-12-1899,0,3,20170503000162,04:22:35,04:19:24
1,30-12-1899,30-12-1899,0,3,20170503000163,18:21:43,18:16:39
1,30-12-1899,30-12-1899,0,4,20170503000164,21:46:37,21:42:04
1,30-12-1899,30-12-1899,0,3,20170503000165,20:17:52,20:15:41
1,30-12-1899,30-12-1899,1,2,20170503000166,11:22:37,11:18:55
1,30-12-1899,30-12-1899,0,3,20170503000167,04:23:01,04:19:00
1,30-12-1899,30-12-1899,0,3,20170503000168,00:48:23,00:44:48
1,30-12-1899,30-12-1899,0,3,20170503000169,15:49:39,15:48:22
1,30-12-1899,30-12-1899,0,0,20170503000170,03:25:41,03:22:15
1,30-12-1899,30-12-1899,0,3,20170503000171,05:30:25,05:27:08
1,30-12-1899,30-12-1899,0,2,20170503000172,13:25:33,13:23:00
1,30-12-1899,30-12-1899,0,1,20170503000173,12:04:30,12:00:37
1,30-12-1899,30-12-1899,0,2,20170503000174,02:19:42,02:16:29
1,30-12-1899,30-12-1899,0,4,20170503000175,14:00:10,13:56:58
1,30-12-1899,30-12-1899,0,2,20170503000176,23:08:40,23:08:31
1,30-12-1899,30-12-1899,0,2,20170503000177,02:06:11,02:02:10
1,30-12-1899,30-12-1899,0,2,20170503000178,14:06:50,14:03:57
1,30-12-1899,30-12-1899,0,4,20170503000179,10:46:47,10:44:31
1,30-12-1899,30-12-1899,0,2,20170503000180,15:01:55,14:59:53
1,30-12-1899,30-12-1899,1,3,20170503000181,05:44:19,05:41:43
1,30-12-1899,30-12-1899,0,3,20170503000182,15:02:19,14:58:02
1,30-12-1899,30-12-1899,0,3,20170503000183,19:49:31,19:45:55
1,30-12-1899,30-12-1899,0,1,20170503000184,04:46:40,04:43:11
1,30-12-1899,30-12-1899,1,3,20170503000185,07:22:50,07:18:55
1,30-12-1899,30-12-1899,0,4,20170503000186,01:30:07,01:27:36
1,30-12-1899,30-12-1899,0,0,20170503000187,07:15:44,07:12:48
1,30-12-1899,30-12-1899,0,1,20170503000188,02:29:57,02:27:57
1,30-12-1899,30-12-1899,0,3,20170503000189,11:36:03,11:34:52
1,30-12-1899,30-12-1899,0,2,20170503000190,13:48:57,13:45:50
1,30-12-1899,30-12-1899,0,2,20170503000191,19:03:09,19:00:41
1,30-12-1899,30-12-1899,0,1,20170503000192,22:47:16,22:43:34
1,30-12-1899,30-12-1899,0,2,20170503000193,22:59:46,22:55:56
1,30-12-1899,30-12-1899,0,2,20170503000194,04:42:24,04:39:24
1,30-12-1899,30-12-1899,0,2,20170503000195,02:03:59,02:00:41
1,30-12-1899,30-12-1899,0,2,20170503000196,00:05:49,00:02:21
1,30-12-1899,30-12-1899,0,2,20170503000197,22:36:19,22:35:51
1,30-12-1899,30-12-1899,0,2,20170503000198,23:05:19,23:02:55
1,30-12-1899,30-12-1899,1,3,20170503000199,09:32:03,09:29:54
1,30-12-1899,30-12-1899,0,2,20170503000200,12:22:10,12:18:30
1,30-12-1899,30-12-1899,0,2,20170503000201,11:17:29,11:14:30
1,30-12-1899,30-12-1899,0,3,20170503000202,04:54:30,04:50:35
1,30-12-1899,30-12-1899,1,2,20170503000203,20:57:58,20:56:28
1,30-12-1899,30-12-1899,0,3,20170503000204,15:03:50,15:00:48
1,30-12-1899,30-12-1899,1,2,20170503000205,08:10:06,08:07:24
1,30-12-1899,30-12-1899,0,2,20170503000206,03:05:58,03:04:13
1,30-12-1899,30-12-1899,0,4,20170503000207,21:29:22,21:26:57
1,30-12-1899,30-12-1899,0,3,20170503000208,12:10:43,12:08:44
1,30-12-1899,30-12-1899,0,2,20170503000209,03:40:20,03:36:37
1,30-12-1899,30-12-1899,0,3,20170503000210,10:35:12,10:31:59
1,30-12-1899,30-12-1899,0,4,20170503000211,11:49:57,11:47:30
1,30-12-1899,30-12-1899,0,3,20170503000212,20:02:30,19:59:44
1,30-12-1899,30-12-1899,0,3,20170503000213,11:46:44,11:44:18
1,30-12-1899,30-12-1899,0,1,20170503000214,11:15:37,11:13:01
1,30-12-1899,30-12-1899,0,2,20170503000215,14:04:00,14:02:36
1,30-12-1899,30-12-1899,0,2,20170503000216,17:21:22,17:17:35
1,30-12-1899,30-12-1899,0,2,20170503000217,16:13:08,16:11:45
1,30-12-1899,30-12-1899,0,3,20170503000218,07:26:53,07:24:16
1,30-12-1899,30-12-1899,0,2,20170503000219,06:46:36,06:42:54
1,30-12-1899,30-12-1899,0,2,20170503000220,18:52:13,18:49:47
1,30-12-1899,30-12-1899,0,1,20170503000221,14:30:13,14:27:00
1,30-12-1899,30-12-1899,0,4,20170503000222,04:57:40,04:55:42
1,30-12-1899,30-12-1899,1,2,20170503000223,01:53:47,01:50:16
1,30-12-1899,30-12-1899,0,1,20170503000224,08:27:29,08:23:05
1,30-12-1899,30-12-1899,0,3,20170503000225,23:08:56,23:05:30
1,30-12-1899,30-12-1899,0,3,20170503000226,02:18:27,02:14:45
1,30-12-1899,30-12-1899,0,2,20170503000227,06:44:43,06:40:03
1,30-12-1899,30-12-1899,0,2,20170503000228,09:52:24,09:50:11
1,30-12-1899,30-12-1899,0,3,20170503000229,03:08:07,03:04:54
1,30-12-1899,30-12-1899,0,2,20170503000230,21:04:02,21:00:27
1,30-12-1899,30-12-1899,0,3,20170503000231,07:16:02,07:10:03
1,30-12-1899,30-12-1899,0,3,20170503000232,14:42:13,14:39:14
1,30-12-1899,30-12-1899,0,3,20170503000233,05:16:11,05:11:46
1,30-12-1899,30-12-1899,0,4,20170503000234,22:51:10,22:49:12
1,30-12-1899,30-12-1899,0,2,20170503000235,04:04:20,04:00:43
1,30-12-1899,30-12-1899,0,3,20170503000236,08:22:11,08:19:07
1,30-12-1899,30-12-1899,0,1,20170503000237,13:44:53,13:41:20
1,30-12-1899,30-12-1899,0,2,20170503000238,01:56:32,01:52:47
1,30-12-1899,30-12-1899,0,3,20170503000239,22:52:17,22:49:39
1,30-12-1899,30-12-1899,0,2,20170503000240,06:53:19,06:52:38
1,30-12-1899,30-12-1899,1,2,20170503000241,13:12:43,13:09:03
1,30-12-1899,30-12-1899,0,2,20170503000242,21:28:33,21:25:52
1,30-12-1899,30-12-1899,0,2,20170503000243,17:23:26,17:19:33
1,30-12-1899,30-12-1899,0,2,20170503000244,15:13:58,15:09:44
1,30-12-1899,30-12-1899,0,3,20170503000245,23:58:10,23:53:44
1,30-12-1899,30-12-1899,0,1,20170503000246,14:12:12,14:10:15
1,30-12-1899,30-12-1899,0,1,20170503000247,19:55:11,19:52:00
1,30-12-1899,30-12-1899,0,3,20170503000248,16:34:04,16:29:53
1,30-12-1899,30-12-1899,0,3,20170503000249,13:20:19,13:17:10
1,30-12-1899,30-12-1899,0,3,20170503000250,09:38:17,09:36:47
1,30-12-1899,30-12-1899,0,3,20170503000251,19:16:19,19:15:47
1,30-12-1899,30-12-1899,0,2,20170503000252,16:44:25,16:42:50
1,30-12-1899,30-12-1899,0,3,20170503000253,20:02:56,19:59:31
1,30-12-1899,30-12-1899,0,1,20170503000254,16:45:43,16:41:34
1,30-12-1899,30-12-1899,0,3,20170503000255,03:08:02,03:06:33
1,30-12-1899,30-12-1899,0,1,20170503000256,01:32:23,01:29:34
1,30-12-1899,30-12-1899,0,3,20170503000257,09:33:22,09:31:02
1,30-12-1899,30-12-1899,0,3,20170503000258,10:21:21,10:15:30
1,30-12-1899,30-12-1899,0,2,20170503000259,05:56:04,05:53:18
1,30-12-1899,30-12-1899,0,2,20170503000260,01:45:03,01:43:19
1,30-12-1899,30-12-1899,0,2,20170503000261,20:34:03,20:30:54
1,30-12-1899,30-12-1899,0,1,20170503000262,22:44:51,22:41:14
1,30-12-1899,30-12-1899,0,4,20170503000263,02:04:44,02:01:29
1,30-12-1899,30-12-1899,0,3,20170503000264,03:21:25,03:18:16
1,30-12-1899,30-12-1899,0,2,20170503000265,20:03:49,20:00:41
1,30-12-1899,30-12-1899,0,2,20170503000266,13:06:04,13:04:18
1,30-12-1899,30-12-1899,0,2,20170503000267,22:48:06,22:44:37
1,30-12-1899,30-12-1899,0,2,20170503000268,01:03:45,01:00:04
1,30-12-1899,30-12-1899,0,2,20170503000269,03:53:52,03:51:39
1,30-12-1899,30-12-1899,0,4,20170503000270,23:09:40,23:06:07
1,30-12-1899,30-12-1899,0,3,20170503000271,17:38:28,17:35:39
1,30-12-1899,30-12-1899,0,2,20170503000272,19:49:17,19:46:18
1,30-12-1899,30-12-1899,0,4,20170503000273,07:07:40,07:04:00
1,30-12-1899,30-12-1899,0,2,20170503000274,12:52:55,12:47:58
1,30-12-1899,30-12-1899,0,1,20170503000275,18:41:39,18:39:23
1,30-12-1899,30-12-1899,0,4,20170503000276,05:06:43,05:02:57
1,30-12-1899,30-12-1899,0,2,20170503000277,08:30:03,08:26:36
1,30-12-1899,30-12-1899,0,2,20170503000278,13:52:07,13:48:10
1,30-12-1899,30-12-1899,0,2,20170503000279,22:26:42,22:22:52
1,30-12-1899,30-12-1899,0,2,20170503000280,13:56:59,13:55:12
1,30-12-1899,30-12-1899,0,3,20170503000281,15:12:10,15:07:39
1,30-12-1899,30-12-1899,0,2,20170503000282,05:02:52,05:00:30
1,30-12-1899,30-12-1899,0,3,20170503000283,11:43:33,11:41:35
1,30-12-1899,30-12-1899,0,2,20170503000284,02:34:53,02:33:03
1,30-12-1899,30-12-1899,0,3,20170503000285,22:42:02,22:37:33
1,30-12-1899,30-12-1899,0,1,20170503000286,05:18:47,05:18:24
1,30-12-1899,30-12-1899,0,2,20170503000287,13:04:30,13:03:17
1,30-12-1899,30-12-1899,0,3,20170503000288,04:31:57,04:28:50
1,30-12-1899,30-12-1899,0,3,20170503000289,08:45:27,08:42:37
1,30-12-1899,30-12-1899,0,3,20170503000290,05:19:42,05:17:36
1,30-12-1899,30-12-1899,0,1,20170503000291,04:05:15,04:01:30
1,30-12-1899,30-12-1899,0,4,20170503000292,17:33:06,17:29:33
1,30-12-1899,30-12-1899,0,3,20170503000293,11:36:26,11:33:17
1,30-12-1899,30-12-1899,0,2,20170503000294,18:35:36,18:34:46
1,30-12-1899,30-12-1899,0,2,20170503000295,20:24:05,20:19:37
1,30-12-1899,30-12-1899,0,1,20170503000296,00:09:26,00:06:33
1,30-12-1899,30-12-1899,0,1,20170503000297,01:37:05,01:33:49
1,30-12-1899,30-12-1899,0,5,20170503000298,08:10:20,08:08:25
1,30-12-1899,30-12-1899,1,2,20170503000299,05:11:35,05:08:02
1,30-12-1899,30-12-1899,0,3,20170503000300,04:08:23,04:05:27
1,30-12-1899,30-12-1899,0,3,20170503000301,08:19:21,08:17:41
1,30-12-1899,30-12-1899,0,3,20170503000302,18:44:19,18:40:09
1,30-12-1899,30-12-1899,0,3,20170503000303,18:20:32,18:17:28
1,30-12-1899,30-12-1899,0,1,20170503000304,01:20:13,01:16:54
1,30-12-1899,30-12-1899,0,2,20170503000305,04:36:27,04:32:29
1,30-12-1899,30-12-1899,0,3,20170503000306,10:30:20,10:28:27
1,30-12-1899,30-12-1899,0,1,20170503000307,10:26:59,10:22:00
1,30-12-1899,30-12-1899,0,4,20170503000308,16:45:30,16:42:09
1,30-12-1899,30-12-1899,0,2,20170503000309,16:00:04,15:58:10
1,30-12-1899,30-12-1899,1,2,20170503000310,16:47:42,16:43:35
1,30-12-1899,30-12-1899,0,3,20170503000311,01:13:49,01:11:17
1,30-12-1899,30-12-1899,0,1,20170503000312,19:27:11,19:25:28
1,30-12-1899,30-12-1899,0,1,20170503000313,02:22:23,02:20:37
1,30-12-1899,30-12-1899,0,3,20170503000314,12:43:46,12:42:17
1,30-12-1899,30-12-1899,0,4,20170503000315,05:16:01,05:13:20
1,30-12-1899,30-12-1899,0,2,20170503000316,01:38:58,01:35:10
1,30-12-1899,30-12-1899,0,3,20170503000317,03:32:56,03:28:58
1,30-12-1899,30-12-1899,0,3,20170503000318,09:48:23,09:45:53
1,30-12-1899,30-12-1899,0,3,20170503000319,17:13:06,17:08:59
1,30-12-1899,30-12-1899,0,2,20170503000320,04:48:53,04:44:09
1,30-12-1899,30-12-1899,0,1,20170503000321,13:23:09,13:20:15
1,30-12-1899,30-12-1899,0,4,20170503000322,20:59:10,20:57:35
1,30-12-1899,30-12-1899,0,1,20170503000323,13:01:57,12:57:58
1,30-12-1899,30-12-1899,0,2,20170503000324,11:54:04,11:50:03
1,30-12-1899,30-12-1899,0,3,20170503000325,11:30:37,11:27:34
1,30-12-1899,30-12-1899,0,4,20170503000326,00:02:08,00:00:56
1,30-12-1899,30-12-1899,0,2,20170503000327,21:03:28,21:00:56
1,30-12-1899,30-12-1899,0,2,20170503000328,05:30:27,05:28:17
1,30-12-1899,30-12-1899,0,1,20170503000329,18:59:45,18:56:58
1,30-12-1899,30-12-1899,0,3,20170503000330,20:45:28,20:42:22
1,30-12-1899,30-12-1899,0,2,20170503000331,14:17:46,14:14:39
1,30-12-1899,30-12-1899,0,3,20170503000332,06:00:28,05:57:13
1,30-12-1899,30-12-1899,0,4,20170503000333,18:23:44,18:21:09
1,30-12-1899,30-12-1899,0,3,20170503000334,01:49:33,01:47:57
1,30-12-1899,30-12-1899,0,1,20170503000335,07:52:21,07:50:20
1,30-12-1899,30-12-1899,0,3,20170503000336,06:21:45,06:18:54
1,30-12-1899,30-12-1899,0,3,20170503000337,05:04:08,05:02:14
1,30-12-1899,30-12-1899,0,2,20170503000338,00:45:05,00:43:04
1,30-12-1899,30-12-1899,1,0,20170503000339,06:08:56,06:05:51
1,30-12-1899,30-12-1899,0,1,20170503000340,04:36:43,04:34:15
1,30-12-1899,30-12-1899,0,4,20170503000341,14:03:15,13:58:47
1,30-12-1899,30-12-1899,1,3,20170503000342,16:45:32,16:43:25
1,30-12-1899,30-12-1899,0,4,20170503000343,09:38:56,09:35:11
1,30-12-1899,30-12-1899,0,3,20170503000344,12:48:21,12:45:47
1,30-12-1899,30-12-1899,0,2,20170503000345,11:54:52,11:53:16
1,30-12-1899,30-12-1899,0,3,20170503000346,12:35:41,12:33:42
1,30-12-1899,30-12-1899,0,1,20170503000347,04:51:29,04:47:51
1,30-12-1899,30-12-1899,1,2,20170503000348,06:22:42,06:18:28
1,30-12-1899,30-12-1899,0,1,20170503000349,17:59:18,17:57:28
1,30-12-1899,30-12-1899,0,3,20170503000350,22:24:21,22:22:03
1,30-12-1899,30-12-1899,1,4,20170503000351,15:31:59,15:29:48
1,30-12-1899,30-12-1899,0,4,20170503000352,15:00:47,14:57:11
1,30-12-1899,30-12-1899,0,2,20170503000353,21:42:35,21:39:41
1,30-12-1899,30-12-1899,1,1,20170503000354,07:38:00,07:34:16
1,30-12-1899,30-12-1899,1,2,20170503000355,13:31:34,13:27:09
1,30-12-1899,30-12-1899,0,3,20170503000356,12:30:56,12:28:25
1,30-12-1899,30-12-1899,0,3,20170503000357,09:15:29,09:12:04
1,30-12-1899,30-12-1899,0,3,20170503000358,18:01:50,17:59:05
1,30-12-1899,30-12-1899,0,2,20170503000359,11:26:23,11:23:04
1,30-12-1899,30-12-1899,0,1,20170503000360,09:53:12,09:50:17
1,30-12-1899,30-12-1899,0,3,20170503000361,09:27:52,09:25:48
1,30-12-1899,30-12-1899,0,1,20170503000362,17:09:02,17:03:59
1,30-12-1899,30-12-1899,0,2,20170503000363,10:50:50,10:48:37
1,30-12-1899,30-12-1899,0,1,20170503000364,02:06:18,02:02:27
1,30-12-1899,30-12-1899,0,2,20170503000365,18:19:00,18:15:33
1,30-12-1899,30-12-1899,0,1,20170503000366,14:30:29,14:27:10
